INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10308010	1	3	2	10	0	1601	3	-1	-1	天地礼同箫	86	-1	#Y【上古神器】#r#I命中敌人有机率打出奋力一击。#r额外造成#G210点伤害#I，并在接下来的10秒内增加自身外功攻击550点，减少对方外功防御550点。#r#W舜五弦而天下治，箫雅颂而定君臣。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器可在苏州（355，234）欧冶子处消耗新莽神符升级成更高等级的神器。	6600	5280	195	3	3	9652	-1	Flute1_3	箫剑类	1	1	0	890	890	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3007	0	0	126	250	-1	0	0	1	-1	-1
10308011	1	3	2	11	0	1601	3	-1	-1	天地礼同箫	96	-1	#Y【上古神器】#r#I命中敌人有机率打出奋力一击。#r额外造成#G260点伤害#I，并在接下来的10秒内增加自身外功攻击630点，减少对方外功防御630点。#r#W舜五弦而天下治，箫雅颂而定君臣。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。	7800	6240	205	3	3	9653	-1	Flute1_3	箫剑类	1	1	0	980	980	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3008	0	0	126	250	-1	0	0	1	-1	-1
10308012	1	3	2	12	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G1923点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在苏州欧治于（355，240）处炼魂后，方可在凤鸣镇欧冶青（196，215）处进行通灵。	9000	7200	215	3	3	9663	-1	Flute1_4	箫剑类	1	1	0	969	969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	112	0	0	126	250	-1	0	0	1	-1	-1
10308013	1	3	2	13	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G40%#I持续15秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在苏州欧治于（355，240）处炼魂后，方可在凤鸣镇欧冶青（196，215）处进行通灵。	9000	7200	215	3	3	9664	-1	Flute1_4	箫剑类	1	1	0	969	969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	112	0	0	126	250	-1	0	0	1	-1	-1
10308014	1	3	2	14	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G200血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在苏州欧治于（355，240）处炼魂后，方可在凤鸣镇欧冶青（196，215）处进行通灵。	9000	7200	215	3	3	9665	-1	Flute1_4	箫剑类	1	1	0	969	969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	112	0	0	126	250	-1	0	0	1	-1	-1
10308015	1	3	2	15	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2400点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9666	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308016	1	3	2	16	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续15秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9667	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308017	1	3	2	17	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G250血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9668	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308018	1	3	2	18	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2400点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9666	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308019	1	3	2	19	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续15秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9667	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308020	1	3	2	20	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G250血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9668	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308021	1	3	2	21	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2400点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9666	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308022	1	3	2	22	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续15秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9667	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308023	1	3	2	23	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G250血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处通灵后可提升神器与主人的契合度。	9000	7200	215	3	3	9668	-1	Flute1_4	箫剑类	1	1	0	1050	1050	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	3003	0	0	126	250	-1	0	0	1	-1	-1
10308024	1	3	2	24	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2800点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9669	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308025	1	3	2	25	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续18秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9670	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308026	1	3	2	26	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G280血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9671	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308027	1	3	2	27	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2800点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9669	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308028	1	3	2	28	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续18秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9670	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308029	1	3	2	29	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G280血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9671	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308030	1	3	2	30	0	1610	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2800点#I持续30秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9669	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308031	1	3	2	31	0	1604	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续18秒。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9670	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308032	1	3	2	32	0	1607	3	-1	-1	大越正音	102	-1	#Y【神器】#r#I命中敌人有机率施放吸血，吸取目标#G280血#I。#r#W往圣音尘未绝矣，我正灵物肃杀心。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r此神器在凤鸣镇欧冶青（196，215）处提升与主人的契合度。	9000	7200	215	3	3	9671	-1	Flute1_4	箫剑类	1	1	0	1100	1100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	3006	0	0	126	250	-1	0	0	1	-1	-1
10308033	1	3	2	33	0	1619	3	-1	-1	春秋繁露	102	-1	#Y【上古神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2800点#I持续30秒。#r#W天道远弥非可论，我命自成载春秋。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器在凤鸣镇逍遥子（248，217）处开蒙后，可提升神器器灵等阶并解封魂位。	9000	7200	215	3	3	9681	-1	Flute1_5	箫剑类	1	1	0	1150	1150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3009	0	0	126	250	-1	0	0	1	-1	-1
10308034	1	3	2	34	0	1613	3	-1	-1	春秋繁露	102	-1	#Y【上古神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续18秒。#r#W天道远弥非可论，我命自成载春秋。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器在凤鸣镇逍遥子（248，217）处开蒙后，可提升神器器灵等阶并解封魂位。	9000	7200	215	3	3	9682	-1	Flute1_5	箫剑类	1	1	0	1150	1150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3009	0	0	126	250	-1	0	0	1	-1	-1
10308035	1	3	2	35	0	1616	3	-1	-1	春秋繁露	102	-1	#Y【上古神器】#r#I命中敌人有机率施放吸血，吸取目标#G280血#I。#r#W天道远弥非可论，我命自成载春秋。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器在凤鸣镇逍遥子（248，217）处开蒙后，可提升神器器灵等阶并解封魂位。	9000	7200	215	3	3	9683	-1	Flute1_5	箫剑类	1	1	0	1150	1150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3009	0	0	126	250	-1	0	0	1	-1	-1
10308036	1	3	2	36	0	1619	3	-1	-1	春秋繁露	102	-1	#Y【上古神器】#r#I命中敌人有机率施放破绽，减少目标内外防#G2800点#I持续30秒。#r#W天道远弥非可论，我命自成载春秋。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器在凤鸣镇逍遥子（248，217）处开蒙后，可提升神器器灵等阶并解封魂位。	9000	7200	215	3	3	9681	-1	Flute1_5	箫剑类	1	1	0	1150	1150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3009	0	0	126	250	-1	0	0	1	-1	-1
10308037	1	3	2	37	0	1613	3	-1	-1	春秋繁露	102	-1	#Y【上古神器】#r#I命中敌人有机率施放减速，减缓目标移动速度#G45%#I持续18秒。#r#W天道远弥非可论，我命自成载春秋。#r#G该装备可到洛阳（280，322）彭怀玉、楼兰（279，198）克里木、束河古镇（134，85）荆嵌实处使用寒玉精粹或者点金之箭进行极限打孔。#r#G此神器在凤鸣镇逍遥子（248，217）处开蒙后，可提升神器器灵等阶并解封魂位。	9000	7200	215	3	3	9682	-1	Flute1_5	箫剑类	1	1	0	1150	1150	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3009	0	0	126	250	-1	0	0	1	-1	-1
